Name,CDSName,RA,Dec,ra1,ra2,ra3,RA_dec,RA_radians,sde,de1,de2,de3,de_dec,Dec_radians,LongGal,LatGal,B,V,B-V,B0-V0,EB-V,OType,Sp,Sp_s,Miles
HD 100600, 90 Leo,"11 34 42,49024","+16 47 48,8956",11,34,42.5,173.677042666667,3.03123622966001,+,16,47,48.9,16.7969154444444,0.293161478684641,239.179,69.4687,5.78,5.94,-0.16,-0.18,0.02,**,B4V,B4,
HD 100673,A Cen,"11 34 45,65581","-54 15 50,7320",11,34,45.7,173.690232541667,3.03146643640669,-,54,15,50.7,-54.2640922222222,-0.947087074883624,291.7927,6.9409,4.548,4.614,-0.066,-0.07,0.00,Be*,B9Ve,B9,
HD 100889,tet Crt,"11 36 40,91335","-09 48 08,0912",11,36,40.9,174.170472291667,3.03984820124314,-,09,48,08.1,-9.80224755555556,-0.17108149394001,274.2494,48.8616,4.626,4.682,-0.056,-0.07,0.01,PM*,"B9,5Vn","B9,5",
HD 101431,omi Hya,"11 40 12,78970","-34 44 40,7733",11,40,12.8,175.053290416667,3.05525628422068,-,34,44,40.8,-34.74465925,-0.606408701396004,286.7153,25.8742,4.623,4.693,-0.07,-0.07,0.00,Star,B9V,B9,
HD 10144 ,alf Eri,"01 37 42,84548","-57 14 12,3101",01,37,42.8,24.4285228333333,0.42635815484028,-,57,14,12.3,-57.2367528055556,-0.998969789607047,290.8412,-58.792,0.3,0.5,-0.2,-0.14,-0.06,Be*,B6Vep,B6,
HD 101615,HD 101615,"11 41 19,79057","-43 05 44,3987",11,41,19.8,175.332460708333,3.060128724984,-,43,05,44.4,-43.0956663055556,-0.752161270372726,289.5666,17.9492,5.572,5.531,0.041,-0.01,0.05,PM*,A0V,A0,
HD 102124,ksi Vir,"11 45 17,04027","+08 15 29,2150",11,45,17.0,176.321001125,3.07738201004388,+,08,15,29.2,8.25811527777778,0.144131301606468,260.1825,65.4799,5.006,4.845,0.161,0.12,0.04,PM*,A4V,A4,
HD 102249,lam Mus,"11 45 36,41916","-66 43 43,5440",11,45,36.4,176.4017465,3.07879128269338,-,66,43,43.5,-66.7287622222222,-1.16463660655819,296.4837,-4.6847,3.796,3.634,0.162,0.2,-0.04,PM*,A7V,A7,
HD 10250 , 42 Cas,"01 42 55,86416","+70 37 21,0894",01,42,55.9,25.7327673333333,0.449121515616307,+,70,37,21.1,70.6225248333333,1.23259558441313,127.2148,8.1802,5.155,5.177,-0.022,-0.07,0.05,EB*Algol,B9V,B9,
HD 102509, 93 Leo,"11 47 59,13595","+20 13 08,1500",11,47,59.1,176.996399791667,3.08916994054079,+,20,13,08.2,20.2189305555556,0.352886909426531,235.0034,73.9319,5.053,4.537,0.516,0.2,0.32,RSCVn,"A7V+,,,",A7,
